Badge,Feeder,Latitude,Longitude
ME-1Q2001336,Newton,13.07763716,-59.53172989
ME-1Q2001337,Newton,13.07771835,-59.53351601
ME-1Q2001339,Newton,13.07772754,-59.53154017
ME-1Q2000245,Newton,13.07566085,-59.54179453
ME-1Q2000247,Newton,13.07570996,-59.54139474
ME-1Q2000253,Newton,13.07579476,-59.54234652
ME-1Q2000254,Newton,13.07560136,-59.54149969
ME-1Q2000256,Newton,13.07906289,-59.54734993
ME-1Q2000257,Newton,13.07933834,-59.54467724
ME-1Q2000258,Newton,13.07940997,-59.54467026
ME-1Q2000259,Newton,13.07943302,-59.54497557
ME-1Q2000260,Newton,13.08067145,-59.54771331
ME-1Q2000261,Newton,13.08082265,-59.54693452
ME-1Q2000262,Newton,13.07644909,-59.54457709
ME-1Q2000263,Newton,13.07676533,-59.54461541
ME-1Q2000268,Newton,13.07896438,-59.54351937
ME-1Q2000270,Newton,13.07902105,-59.54346559
ME-1Q2000271,Newton,13.07962512,-59.54371701
ME-1Q2000734,Newton,13.07609527,-59.53425232
ME-1Q2000736,Newton,13.07638698,-59.53794507
ME-1Q2000741,Oistins,13.07635543,-59.55176641
ME-1Q2000742,Newton,13.07928729,-59.54412338
ME-1Q2000744,Newton,13.07967507,-59.54696825
ME-1Q2000745,Newton,13.07936996,-59.54546152
ME-1Q2000746,Newton,13.08091824,-59.54654303
ME-1Q2000749,Newton,13.07518744,-59.54740335
ME-1Q2000750,Newton,13.07515674,-59.54741279
ME-1Q2000756,Newton,13.07538941,-59.5397737
ME-1Q2000758,Newton,13.07547803,-59.53974589
ME-1Q2000763,Newton,13.07562347,-59.54769302
ME-1Q2000766,Newton,13.07542179,-59.54225731
ME-1Q2000767,Newton,13.07682621,-59.55175451
ME-1Q2000272,Newton,13.07919773,-59.54637681
ME-1Q2000274,Newton,13.07899468,-59.54782894
ME-1Q2000275,Newton,13.08007597,-59.5460724
ME-1Q2000279,Newton,13.0807566,-59.54671744
ME-1Q2000284,Newton,13.07872138,-59.54349151
ME-1Q2000285,Newton,13.08060035,-59.54256764
ME-1Q2000286,Newton,13.08055292,-59.54288145
ME-1Q2000288,Newton,13.07890642,-59.54751815
ME-1Q2000291,Newton,13.08048709,-59.54996436
ME-1Q2000292,Newton,13.08028841,-59.54289803
ME-1Q2000293,Newton,13.08128168,-59.5420055
ME-1Q2000769,Newton,13.07600424,-59.54855932
ME-1Q2000772,Newton,13.07472312,-59.53807135
ME-1Q2000775,Newton,13.07478848,-59.5385065
ME-1Q2000776,Newton,13.07383931,-59.53736291
ME-1Q2000777,Newton,13.07467618,-59.53684765
ME-1Q2000778,Newton,13.07436959,-59.53671687
ME-1Q2000779,Newton,13.07460238,-59.53651823
ME-1Q2000781,Newton,13.0743363,-59.53709778
ME-1Q2000782,Newton,13.07445584,-59.53709533
ME-1Q2000784,Newton,13.07537477,-59.53804265
ME-1Q2000787,Newton,13.07592947,-59.53818768
ME-1Q2000791,Newton,13.07683793,-59.53680624
ME-1Q2000794,Newton,13.07400497,-59.53615877
ME-1Q2000799,Newton,13.07404628,-59.53653983
ME-1P1000002,Oistins,13.07587765,-59.55328583
ME-1P1000003,Oistins,13.07576902,-59.55344125
ME-1P1000004,Oistins,13.07589719,-59.55345807
ME-1P1000005,Newton,13.07627451,-59.54500103
ME-1P1000006,Newton,13.07648123,-59.54563066
ME-1P1000007,Newton,13.07595204,-59.54568967
ME-1P1000008,Newton,13.07637472,-59.54570492
ME-1P1000009,Newton,13.07593692,-59.53633949
ME-1P1000010,Newton,13.07519442,-59.53737933
ME-1P1000011,Newton,13.07556675,-59.53720677
ME-1P1000012,Newton,13.07551855,-59.53690224
ME-1P1000013,Newton,13.07507815,-59.53662651
ME-1P1000015,Newton,13.07483752,-59.5358071
ME-1P1000016,Newton,13.07503534,-59.53648342
ME-1P1000018,Newton,13.07803561,-59.53598895
ME-1P1000020,Newton,13.07874723,-59.53640425
ME-1Q2000294,Newton,13.08108298,-59.54132442
ME-1Q2000297,Newton,13.0797495,-59.5479883
ME-1Q2000298,Newton,13.07967881,-59.54627615
ME-1Q2000302,Newton,13.07903793,-59.54579033
ME-1Q2000303,Newton,13.07901617,-59.54573222
ME-1Q2000304,Newton,13.07944753,-59.54529467
ME-1Q2000305,Newton,13.07955947,-59.5459939
ME-1Q2000307,Newton,13.07937685,-59.54526753
ME-1Q2000308,Newton,13.07969813,-59.54637306
ME-1Q2000309,Newton,13.0795281,-59.5464731
ME-1Q2000312,Newton,13.07981986,-59.547458
ME-1Q2000313,Newton,13.07998254,-59.54742655
ME-1Q2000315,Newton,13.07958877,-59.54737371
ME-1Q2000316,Newton,13.07938233,-59.54550018
ME-1Q2000318,Newton,13.07946797,-59.54572513
ME-1Q2000319,Newton,13.07947373,-59.54574999
ME-1Q2000320,Newton,13.08001688,-59.54792194
ME-1Q2000802,Newton,13.07340351,-59.53750085
ME-1Q2000805,Newton,13.07298624,-59.53716696
ME-1Q2000806,Newton,13.07461879,-59.53745026
ME-1Q2000809,Newton,13.07846789,-59.52868553
ME-1Q2000810,Newton,13.07848915,-59.52866332
ME-1Q2000811,Newton,13.07850851,-59.52863913
ME-1Q2000815,Newton,13.07963671,-59.54457595
ME-1Q2000817,Newton,13.07831624,-59.53032646
ME-1Q2000818,Newton,13.08012162,-59.54400675
ME-1Q2000821,Newton,13.0737502,-59.5372352
ME-1Q2000823,Newton,13.07404047,-59.53773084
ME-1Q2000824,Newton,13.07638318,-59.53448662
ME-1Q2000826,Newton,13.07650583,-59.53471981
ME-1Q2000827,Newton,13.07641328,-59.53448986
ME-1P1000021,Newton,13.07419988,-59.53671085
ME-1P1000022,Newton,13.07482505,-59.53585939
ME-1P1000027,Newton,13.07525125,-59.53858377
ME-1P1000028,Newton,13.0756069,-59.53896165
ME-1P1000033,Newton,13.07786466,-59.53556685
ME-1P1000034,Newton,13.07834564,-59.53603105
ME-1P1000035,Newton,13.07865066,-59.53724779
ME-1P1000036,Newton,13.07815844,-59.53643707
ME-1P1000038,Oistins,13.07525051,-59.55532237
ME-1P1000039,Oistins,13.07540104,-59.55469443
ME-1P1000041,Newton,13.07695246,-59.5525963
ME-1P1000042,Newton,13.07709189,-59.55147194
ME-1P1000043,Newton,13.07644011,-59.5490197
ME-1P1000044,Oistins,13.07616205,-59.55057644
ME-1Q2000321,Newton,13.07999365,-59.54793994
ME-1Q2000322,Newton,13.07991116,-59.54794795
ME-1Q2000324,Newton,13.08093066,-59.54638461
ME-1Q2000325,Newton,13.0809618,-59.54637763
ME-1Q2000340,Newton,13.08096747,-59.54448936
ME-1Q2000341,Newton,13.08080516,-59.54344479
ME-1Q2000342,Newton,13.07948539,-59.5451195
ME-1Q2000344,Newton,13.07998247,-59.54648414
ME-1Q2000346,Newton,13.08055989,-59.54624965
ME-1Q2000347,Newton,13.08013918,-59.54635126
ME-1Q2000348,Newton,13.07951861,-59.5475592
ME-1Q2000349,Newton,13.07952176,-59.54764044
ME-1Q2000350,Newton,13.07938475,-59.54757112
ME-1Q2000352,Newton,13.07931032,-59.54730226
ME-1Q2000354,Newton,13.07932063,-59.54742857
ME-1Q2000829,Newton,13.07659221,-59.53659033
ME-1Q2000830,Newton,13.07663362,-59.53676956
ME-1Q2000831,Newton,13.07681696,-59.53664854
ME-1Q2000833,Newton,13.07821692,-59.53540804
ME-1Q2000834,Newton,13.07945942,-59.53362777
ME-1Q2000835,Newton,13.07930944,-59.53393951
ME-1Q2000836,Newton,13.07842776,-59.53651207
