OBJECTID,Badge,Feeder,Latitude,Longitude,Outage_Number
1,ME-1Q2001255,Bath Village,13.07719711,-59.55483408,1
2,ME-1Q2001720,Bath Village,13.07736551,-59.55456531,1
3,ME-1Q2001779,Bath Village,13.07673685,-59.55312711,1
4,ME-1Q2001780,Bath Village,13.07687237,-59.55305633,1
5,ME-1Q2001406,Bath Village,13.07573248,-59.55431489,1
6,ME-1Q2001874,Bath Village,13.07669639,-59.55325447,1
7,ME-1Q2001719,Bath Village,13.07692287,-59.55381309,1
8,ME-1Q2005006,Bath Village,13.07891814,-59.56063605,1
9,ME-1Q2005008,Bath Village,13.07920765,-59.56085792,1
10,ME-1Q2005009,Bath Village,13.07909809,-59.56104999,1
11,ME-1Q2005470,Bath Village,13.07932754,-59.56121282,1
12,ME-1Q2005471,Bath Village,13.07995935,-59.56121739,1
13,ME-1Q2005472,Bath Village,13.07812884,-59.56182383,1
14,ME-1P1000437,Bath Village,13.07373581,-59.55652458,1
15,ME-1Q2005663,Bath Village,13.08053224,-59.56129743,1
16,ME-1Q2005664,Bath Village,13.08050063,-59.56111081,1
17,ME-1Q2005665,Bath Village,13.08029147,-59.56137146,1
18,ME-1Q2004806,Bath Village,13.07566833,-59.55772841,1
19,ME-1Q2004807,Bath Village,13.07548956,-59.55746558,1
20,ME-1Q2004809,Bath Village,13.07562949,-59.55737233,1
21,ME-1Q2004894,Bath Village,13.07575539,-59.55765262,1
22,ME-1Q2004896,Bath Village,13.07546423,-59.55696129,1
23,ME-1Q2004910,Bath Village,13.07535628,-59.55787029,1
24,ME-1Q2004911,Bath Village,13.07513974,-59.55804377,1
25,ME-1Q2004912,Bath Village,13.07549123,-59.55797743,1
26,ME-1Q2004913,Bath Village,13.07557404,-59.55791571,1
27,ME-1Q2004942,Bath Village,13.07490035,-59.55768296,1
28,ME-1Q2004944,Bath Village,13.07498228,-59.55776847,1
29,ME-1Q2004945,Bath Village,13.07502916,-59.55794992,1
30,ME-1Q2006238,Bath Village,13.07037511,-59.56680709,1
31,ME-1Q2006227,Bath Village,13.07226337,-59.56792166,1
32,ME-1Q2006071,Bath Village,13.07287016,-59.56260412,1
33,ME-1Q2006093,Bath Village,13.07296384,-59.56086052,1
34,ME-1Q2006236,Bath Village,13.07296077,-59.56771955,1
35,ME-1W2000110,Bath Village,13.06822105,-59.57492878,1
36,ME-1Q2006276,Bath Village,13.06866471,-59.56849853,1
37,ME-1Q2006120,Bath Village,13.06928082,-59.56706263,1
38,ME-1Q2006121,Bath Village,13.06928148,-59.56710711,1
39,ME-1Q2006182,Bath Village,13.07234745,-59.56422545,1
40,ME-1Q2006150,Bath Village,13.0728924,-59.56243166,1
41,ME-1Q2006805,Bath Village,13.06931031,-59.57409889,1
42,ME-1Q2006184,Bath Village,13.07237363,-59.56405246,1
43,ME-1P1001839,Bath Village,13.07218902,-59.56487269,1
44,ME-1Q2006413,Bath Village,13.07293187,-59.56200955,1
45,ME-1P1000852,Bath Village,13.07294515,-59.56157504,1
46,ME-1Q2006455,Bath Village,13.07294173,-59.56186062,1
47,ME-1Q2006223,Bath Village,13.07295623,-59.56125635,1
48,ME-1Q2006277,Bath Village,13.06941533,-59.56877435,1
49,ME-1P1000515,Bath Village,13.06947311,-59.56990119,1
50,ME-1Q2006119,Bath Village,13.06947439,-59.56703002,1
51,ME-1Q2005860,Bath Village,13.07246109,-59.56627944,1
52,ME-1Q2005861,Bath Village,13.07243276,-59.56624404,1
53,ME-1Q2006171,Bath Village,13.07244179,-59.56367491,1
54,ME-1Q2006222,Bath Village,13.07295361,-59.56131625,1
55,ME-1Q2006092,Bath Village,13.07297471,-59.56091857,1
56,ME-1Q2006387,Bath Village,13.06942971,-59.56841842,1
57,ME-1P1001857,Bath Village,13.07105955,-59.56714183,1
58,ME-1Q2006126,Bath Village,13.07075503,-59.56663764,1
59,ME-1Q2006225,Bath Village,13.07272243,-59.56136941,1
60,ME-1Q2006183,Bath Village,13.07243276,-59.56340452,1
61,ME-1Q2006185,Bath Village,13.07243175,-59.56345084,1
62,ME-1Q2006456,Bath Village,13.07268032,-59.56177169,1
63,ME-1Q2006226,Bath Village,13.07257489,-59.56837396,1
64,ME-1Q2006279,Bath Village,13.0694761,-59.56840737,1
65,ME-1Q2006278,Bath Village,13.06945411,-59.56859765,1
66,ME-1Q2006118,Bath Village,13.06957187,-59.56721139,1
67,ME-1Q2006389,Bath Village,13.06957596,-59.56839632,1
68,ME-1Q2006151,Bath Village,13.0724403,-59.5632456,1
