OBJECTID,Badge,Feeder,Latitude,Longitude,Outage_Number
1606,ME-1Q2001336,Newton,13.07763716,-59.53172989,2
1607,ME-1Q2001337,Newton,13.07771835,-59.53351601,2
1608,ME-1Q2001339,Newton,13.07772754,-59.53154017,2
1609,ME-1Q2000245,Newton,13.07566085,-59.54179453,2
1610,ME-1Q2000247,Newton,13.07570996,-59.54139474,2
1611,ME-1Q2000253,Newton,13.07579476,-59.54234652,2
1612,ME-1Q2000254,Newton,13.07560136,-59.54149969,2
1613,ME-1Q2000256,Newton,13.07906289,-59.54734993,2
1614,ME-1Q2000257,Newton,13.07933834,-59.54467724,2
1615,ME-1Q2000258,Newton,13.07940997,-59.54467026,2
1616,ME-1Q2000259,Newton,13.07943302,-59.54497557,2
1617,ME-1Q2000260,Newton,13.08067145,-59.54771331,2
1618,ME-1Q2000261,Newton,13.08082265,-59.54693452,2
1619,ME-1Q2000262,Newton,13.07644909,-59.54457709,2
1620,ME-1Q2000263,Newton,13.07676533,-59.54461541,2
1621,ME-1Q2000268,Newton,13.07896438,-59.54351937,2
1622,ME-1Q2000270,Newton,13.07902105,-59.54346559,2
1623,ME-1Q2000271,Newton,13.07962512,-59.54371701,2
1624,ME-1Q2000734,Newton,13.07609527,-59.53425232,2
1625,ME-1Q2000736,Newton,13.07638698,-59.53794507,2
1626,ME-1Q2000742,Newton,13.07928729,-59.54412338,2
1627,ME-1Q2000744,Newton,13.07967507,-59.54696825,2
1628,ME-1Q2000745,Newton,13.07936996,-59.54546152,2
1629,ME-1Q2000746,Newton,13.08091824,-59.54654303,2
1630,ME-1Q2000749,Newton,13.07518744,-59.54740335,2
1631,ME-1Q2000750,Newton,13.07515674,-59.54741279,2
1632,ME-1Q2000756,Newton,13.07538941,-59.5397737,2
1633,ME-1Q2000758,Newton,13.07547803,-59.53974589,2
1634,ME-1Q2000763,Newton,13.07562347,-59.54769302,2
1635,ME-1Q2000766,Newton,13.07542179,-59.54225731,2
1636,ME-1Q2000767,Newton,13.07682621,-59.55175451,2
1637,ME-1Q2000272,Newton,13.07919773,-59.54637681,2
1638,ME-1Q2000274,Newton,13.07899468,-59.54782894,2
1639,ME-1Q2000275,Newton,13.08007597,-59.5460724,2
1640,ME-1Q2000279,Newton,13.0807566,-59.54671744,2
1641,ME-1Q2000284,Newton,13.07872138,-59.54349151,2
1642,ME-1Q2000285,Newton,13.08060035,-59.54256764,2
1643,ME-1Q2000286,Newton,13.08055292,-59.54288145,2
1644,ME-1Q2000288,Newton,13.07890642,-59.54751815,2
1645,ME-1Q2000291,Newton,13.08048709,-59.54996436,2
1646,ME-1Q2000292,Newton,13.08028841,-59.54289803,2
1647,ME-1Q2000293,Newton,13.08128168,-59.5420055,2
1648,ME-1Q2000769,Newton,13.07600424,-59.54855932,2
1649,ME-1Q2000772,Newton,13.07472312,-59.53807135,2
1650,ME-1Q2000775,Newton,13.07478848,-59.5385065,2
1651,ME-1Q2000776,Newton,13.07383931,-59.53736291,2
1652,ME-1Q2000777,Newton,13.07467618,-59.53684765,2
1653,ME-1Q2000778,Newton,13.07436959,-59.53671687,2
1654,ME-1Q2000779,Newton,13.07460238,-59.53651823,2
1655,ME-1Q2000781,Newton,13.0743363,-59.53709778,2
1656,ME-1Q2000782,Newton,13.07445584,-59.53709533,2
1657,ME-1Q2000784,Newton,13.07537477,-59.53804265,2
1658,ME-1Q2000787,Newton,13.07592947,-59.53818768,2
1659,ME-1Q2000791,Newton,13.07683793,-59.53680624,2
1660,ME-1Q2000794,Newton,13.07400497,-59.53615877,2
1661,ME-1Q2000799,Newton,13.07404628,-59.53653983,2
1662,ME-1P1000005,Newton,13.07627451,-59.54500103,2
1663,ME-1P1000006,Newton,13.07648123,-59.54563066,2
1664,ME-1P1000007,Newton,13.07595204,-59.54568967,2
1665,ME-1P1000008,Newton,13.07637472,-59.54570492,2
1666,ME-1P1000009,Newton,13.07593692,-59.53633949,2
1667,ME-1P1000010,Newton,13.07519442,-59.53737933,2
1668,ME-1P1000011,Newton,13.07556675,-59.53720677,2
1669,ME-1P1000012,Newton,13.07551855,-59.53690224,2
1670,ME-1P1000013,Newton,13.07507815,-59.53662651,2
1671,ME-1P1000015,Newton,13.07483752,-59.5358071,2
1672,ME-1P1000016,Newton,13.07503534,-59.53648342,2
1673,ME-1P1000018,Newton,13.07803561,-59.53598895,2
1674,ME-1P1000020,Newton,13.07874723,-59.53640425,2
1675,ME-1Q2000294,Newton,13.08108298,-59.54132442,2
1676,ME-1Q2000297,Newton,13.0797495,-59.5479883,2
1677,ME-1Q2000298,Newton,13.07967881,-59.54627615,2
1678,ME-1Q2000302,Newton,13.07903793,-59.54579033,2
1679,ME-1Q2000303,Newton,13.07901617,-59.54573222,2
1680,ME-1Q2000304,Newton,13.07944753,-59.54529467,2
1681,ME-1Q2000305,Newton,13.07955947,-59.5459939,2
1682,ME-1Q2000307,Newton,13.07937685,-59.54526753,2
1683,ME-1Q2000308,Newton,13.07969813,-59.54637306,2
1684,ME-1Q2000309,Newton,13.0795281,-59.5464731,2
1685,ME-1Q2000312,Newton,13.07981986,-59.547458,2
1686,ME-1Q2000313,Newton,13.07998254,-59.54742655,2
1687,ME-1Q2000315,Newton,13.07958877,-59.54737371,2
1688,ME-1Q2000316,Newton,13.07938233,-59.54550018,2
1689,ME-1Q2000318,Newton,13.07946797,-59.54572513,2
1690,ME-1Q2000319,Newton,13.07947373,-59.54574999,2
1691,ME-1Q2000320,Newton,13.08001688,-59.54792194,2
1692,ME-1Q2000802,Newton,13.07340351,-59.53750085,2
1693,ME-1Q2000805,Newton,13.07298624,-59.53716696,2
1694,ME-1Q2000806,Newton,13.07461879,-59.53745026,2
1695,ME-1Q2000809,Newton,13.07846789,-59.52868553,2
1696,ME-1Q2000810,Newton,13.07848915,-59.52866332,2
1697,ME-1Q2000811,Newton,13.07850851,-59.52863913,2
1698,ME-1Q2000815,Newton,13.07963671,-59.54457595,2
1699,ME-1Q2000817,Newton,13.07831624,-59.53032646,2
